shape	Ip	Fp	N_x	N_y	D	A	B	beta	E	COF	LCC	h_min
S	0	0	0	0	0	0	0	0	0.1	0.5479388644637826	6.866098350736929	6.750013028626713e-05
S	0	0	0	0	0	0	0	0	0.2	0.2665993865532549	14.584266652232536	6.0000426847385496e-05
S	0	0	0	0	0	0	0	0	0.3	0.16617091536682307	24.259831646522926	5.250075107015377e-05
S	0	0	0	0	0	0	0	0	0.4	0.11169801670205343	37.656905152478764	4.500062846096249e-05
S	0	0	0	0	0	0	0	0	0.5	0.07635012887783231	58.077058254476206	3.75005643205996e-05
S	0	0	0	0	0	0	0	0	0.6	0.05135914088454121	92.67467610142414	3.0000965053151874e-05
S	0	0	0	0	0	0	0	0	0.7	0.03295432844414374	159.9867288019149	2.2500727703455313e-05
S	0	0	0	0	0	0	0	0	0.8	0.019182500681343886	322.9847152096691	1.5001426677956068e-05
S	0	0	0	0	0	0	0	0  	0.9	0.008879779600647675	948.5198430213853	7.500001745014231e-06
S	0	0	0	0	0	0	0	0	0.91	0.00800178853783268	1105.193839094828	6.750110239657932e-06
S	0	0	0	0	0	0	0	0	0.92	0.007144788003273361	1307.0332876677	6.000777951746452e-06
S	0	0	0	0	0	0	0	0	0.93	0.006321116296611357	1575.239576447607	5.252550589461424e-06
S	0	0	0	0	0	0	0	0	0.94	0.0055077221601551795	1945.3017822541908	4.500274955850175e-06
S	0	0	0	0	0	0	0	0	0.95	0.004712375660324112	2482.1286111383733	3.7508749897533636e-06
S	0	0	0	0	0	0	0	0	0.96	0.003919458602456742	3318.536728417819	3.0001507238655493e-06
S	0	0	0	0	0	0	0	0	0.97	0.0031463018627177876	4771.751336300059	2.250897113376804e-06
S	0	0	0	0	0	0	0	0	0.98	0.002341400003098371	7814.572142994541	1.5000552498528023e-06
S	0	0	0	0	0	0	0	0	0.985	0.0019257285951337503	10968.957075651255	1.1259055411351858e-06
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.1	0.5868155416015608	7.572195824685705	6.750000022008808e-05
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.2	0.2641700605877483	16.338477042856468	6.0000013486796764e-05
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.3	0.15481445594202237	27.994548557909127	5.250000013486521e-05
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.4	0.10115144669146965	43.68147635500937	4.500054482310908e-05
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.5	0.0683487567511435	67.05226601718915	3.7500732617900356e-05
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.6	0.04578679185915142	106.06752910890906	3.0000396236572278e-05
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.7	0.02947328740769474	180.6013848178224	2.250017084784385e-05
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.8	0.017421377282328284	356.74192891857626	1.5000106249782385e-05
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.9	0.008330502105519496	1010.020842042243	7.501877444293169e-06
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.91	0.0075495411082134875	1170.9330781560693	6.750926430202666e-06
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.92	0.006776427908919904	1377.6196116863398	6.000123501568527e-06
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.93	0.006021420663989373	1650.8792466365576	5.2502496278441664e-06
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.94	0.00527851218388653	2026.3228187416003 	4.502632803344175e-06
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.95	0.004546782328664297	2569.245984551629	3.7500037178039676e-06
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.96	0.0038198386827306865	3411.785051521151	3.0015978607784013e-06
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.97	0.0030815144535814363	4871.3373237900405	2.252771408371287e-06
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.98	0.0023203685322697666	7916.012827605279	1.5006017738730835e-06
C-1	0	0.23	3	1	0.0001005	0.0005	0	0	0.985	0.001915266530803657	11066.807852450658	1.1252659643826684e-06
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.1	0.4366417257476967	9.455838406369496	6.750025981510494e-05
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.2	0.20940487539065672	19.53653762561357	6.000015461379362e-05
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.3	0.1319005954343035	31.629144102955536	5.2500719195498554e-05
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.4	0.09022385450914197	47.785854229976636	4.500012438900697e-05
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.5	0.06331570679336838	71.81219244866077	3.7500000123827445e-05
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.6	0.044240631745465074	110.67414213450178	3.000035163911556e-05
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.7	0.029784518172173213	182.25134226039296	2.2500081722128357e-05
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.8	0.017899801649975722	357.3922185638428	1.5000534828349128e-05
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.9	0.00852465321395915	1010.0912726961276	7.502089709674816e-06
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.91	0.007716673674351495	1170.9517008926684	6.751089055265665e-06
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.92	0.006920475831960339	1377.560047914211	6.000192398689102e-06
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.93	0.006140351732439286	1650.7269088853207	5.250167362940594e-06
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.94	0.00536787469640946	2026.064653901946	4.50247398162156e-06
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.95	0.004615488575013044	2568.8970848097315	3.750021699490549e-06
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.96	0.003870536860672178	3411.3706013120777	3.001805749559391e-06
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.97	0.0031146416283507426	4870.755987035259	2.252559566994197e-06
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.98	0.0023407301600593482	7915.324078820651	1.5007026870599737e-06
C-2	240	0.23	3	1	0.0001005	0.0005	0	0	0.985	0.0019308821111842275	11065.833902736564	1.1252112803328883e-06
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.1	0.5967286087631091	7.070407557195557	6.750000374514203e-05
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.2	0.2357926285246495	17.42144070504204	6.000003210933925e-05
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.3	0.1424782434912661	29.333336284077596	5.2500001339363254e-05
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.4	0.0957631025056995	45.11887408935616	4.5000694427295434e-05
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.5	0.06570104574281141	69.46980578958194	3.750027121179682e-05
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.6	0.04422868630944994	111.07706353530297	3.000026600078121e-05
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.7	0.028304797891734283	192.30239074200716	2.2500853573597354e-05
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.8	0.016293136812263603	391.0891489784949	1.5000271321982634e-05
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.9	0.00736181099316395	1167.1169919867832	7.500017602556669e-06
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.91	0.006616974601967049	1361.2305167948841	6.750203092276244e-06
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.92	0.005903848763417819	1609.7382933392878	6.000884442478277e-06
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.93	0.005220695740911924	1935.182845733592	5.252650694879104e-06
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.94	0.004576004702372353	2373.582237495691	4.500515171472643e-06
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.95	0.0039682129648314045	2981.2327480268027	3.7502616278797553e-06
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.96	0.0034190387546202444	3852.315480308379	3.0014204575960903e-06
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.97	0.0029403482571877604	5134.980313515594	2.2509014042333325e-06
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.98	0.0025925842203266703	7092.769829399569	1.5005212510017461e-06
C-3	0	1.0	3	1	0.0001005	0.0005	0	0	0.985	0.0020036634241637017	10598.298678750432	1.1257187917827787e-06
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.1	0.29331148141850255	12.925425167144763	6.7500001587047e-05
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.2	0.21237942851487732	19.08403962590201	6.0000029631465164e-05
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.3	0.14044542093385307	30.00389008899923	5.250055043293079e-05
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.4	0.09837377325160816	44.701620502736716	4.5000418736647125e-05
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.5	0.06865322510751459	67.47355108736168	3.750000003671786e-05
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.6	0.04675491067053819	106.49858933296998	3.000073142754631e-05
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.7	0.030409151551900496	180.9777442633935	2.2500849669434554e-05
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.8	0.017981944617917384	356.98075629695774	1.500013595144966e-05
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.9	0.008545757611339385	1009.9320879309687	7.502148312540026e-06
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.91	0.007733153177745044	1170.8087666105337	6.751117610920306e-06
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.92	0.006933695353934	1377.4283537130189	6.000201061437812e-06
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.93	0.00615033239399523	1650.6048195034855	5.250161593122321e-06
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.94	0.005380734944753769	2025.952460076087	4.502457904408816e-06
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.95	0.004624642716116244	2568.7967802002113	3.750022762789523e-06
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.96	0.00387532564751366	3411.2844649551794	3.001812149474231e-06
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.97	0.003117831307355699	4870.680527692932	2.2525548344556276e-06
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.98	0.002343502702766376	7915.262334793099	1.5007040044493963e-06
C-4	240	1.0	3	1	0.0001005	0.0005	0	0	0.985	0.0019327714547731731	11065.777716362916	1.125210797401735e-06
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.1	0.29160864280261156	15.379689661110701	6.750000005246739e-05
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.2	0.2527859478291634	17.307978974872753	6.000021906985523e-05
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.3	0.12805442509505266	34.44424511604001	5.2500844537665504e-05
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.4	0.07988484948012306	56.22433714898791	4.5000603615146205e-05
